Participant,HR,Time,Label
1,67.5,1644286159,0
1,67.57,1644286227,0
1,67.65,1644286294,0
1,67.72,1644286362,0
1,67.67,1644286430,0
1,67.72,1644286497,0
1,67.75,1644286565,0
1,67.78,1644286633,0
1,67.8,1644286701,0
1,67.82,1644286769,0
1,67.82,1644286836,0
1,67.82,1644286904,0
1,67.83,1644286972,0
1,67.87,1644287040,0
1,67.87,1644287108,0
1,67.88,1644287176,0
1,67.9,1644287243,0
1,67.92,1644287311,0
1,67.92,1644287379,0
1,67.9,1644287447,0
1,67.87,1644287515,0
1,67.83,1644287583,0
1,67.82,1644287651,0
1,67.8,1644287719,0
1,67.78,1644287786,0
1,67.73,1644287854,0
1,67.72,1644287922,0
1,67.75,1644287990,0
1,67.78,1644288057,0
1,67.83,1644288125,0
1,67.9,1644288193,0
1,67.95,1644288261,0
1,67.98,1644288329,0
1,68.02,1644288397,0
1,68.05,1644288465,0
1,68.07,1644288533,0
1,68.1,1644288601,0
1,68.13,1644288669,0
1,68.18,1644288737,0
1,68.23,1644288805,0
1,68.28,1644288874,0
1,68.32,1644288942,0
1,68.33,1644289010,0
1,68.4,1644289079,0
1,68.42,1644289147,0
1,68.45,1644289215,0
1,68.47,1644289284,0
1,68.48,1644289352,0
1,68.5,1644289421,0
1,68.52,1644289489,0
1,68.5,1644289558,0
1,68.52,1644289626,0
1,68.55,1644289695,0
1,68.6,1644289763,0
1,68.62,1644289832,0
1,68.65,1644289901,0
1,68.77,1644289969,0
1,68.87,1644290038,0
1,68.93,1644290107,0
1,69.0,1644290176,0
1,69.02,1644290245,0
1,69.1,1644290314,0
1,69.12,1644290383,0
1,69.15,1644290452,0
1,69.28,1644290521,0
1,69.35,1644290590,0
1,69.42,1644290660,0
1,69.47,1644290729,0
1,69.57,1644290799,0
1,69.68,1644290868,0
1,69.78,1644290938,0
1,69.8,1644291008,0
1,69.85,1644291078,0
1,69.88,1644291147,0
1,69.93,1644291217,0
1,69.97,1644291287,0
1,70.0,1644291357,0
1,70.02,1644291427,0
1,70.03,1644291497,0
1,70.03,1644291567,0
1,70.02,1644291637,0
1,69.98,1644291707,0
1,69.93,1644291777,0
1,69.85,1644291847,0
1,69.68,1644291917,0
1,69.45,1644291987,0
1,69.1,1644292056,0
1,68.75,1644292125,0
1,68.58,1644292194,0
1,68.48,1644292263,0
1,68.4,1644292331,0
1,68.35,1644292399,0
1,68.35,1644292468,0
1,68.37,1644292536,0
1,68.4,1644292605,0
1,68.43,1644292673,0
1,68.43,1644292741,0
1,68.42,1644292810,0
1,68.38,1644292878,0
1,68.33,1644292947,0
1,68.28,1644293015,0
1,68.25,1644293083,0
1,68.2,1644293151,0
1,68.12,1644293220,0
1,68.07,1644293288,0
1,67.95,1644293356,0
1,67.82,1644293424,0
1,67.63,1644293492,0
1,67.43,1644293559,0
1,67.25,1644293627,0
1,67.13,1644293694,0
1,67.02,1644293761,0
1,66.92,1644293828,0
1,66.8,1644293895,0
1,66.75,1644293962,0
1,66.72,1644294029,0
1,66.63,1644294095,0
1,66.57,1644294162,0
1,66.5,1644294228,0
1,66.42,1644294295,0
1,66.37,1644294361,0
1,66.25,1644294428,0
1,66.2,1644294494,0
1,66.13,1644294560,0
1,66.07,1644294626,0
1,65.98,1644294692,0
1,65.92,1644294758,0
1,65.87,1644294824,0
1,65.77,1644294890,0
1,65.65,1644294956,0
1,65.55,1644295022,0
1,65.52,1644295087,0
1,65.45,1644295153,0
1,65.38,1644295218,0
1,65.32,1644295283,0
1,65.27,1644295349,0
1,65.22,1644295414,0
1,65.17,1644295479,0
1,65.12,1644295544,0
1,65.08,1644295610,0
1,65.05,1644295675,0
1,65.03,1644295740,0
1,65.03,1644295805,0
1,65.07,1644295870,0
1,65.18,1644295935,0
1,65.37,1644296000,0
1,65.67,1644296065,0
1,65.93,1644296131,0
1,66.03,1644296197,0
1,66.07,1644296263,0
1,66.08,1644296329,0
1,66.08,1644296395,0
1,66.03,1644296461,0
1,65.98,1644296527,0
1,65.92,1644296593,0
